ticker,year,quarter,is_annual,revenue,cogs,net_profit,ar_end,inv_end,ap_end,total_assets_end,total_equity_end,NPM,ROA,ROE,DSO,DIO,DPO,CCC,rev_low,balance_ok,source
ERW,2567,Q4,False,2235.2768,860.3459,394.1058,222.4384,42.8166,266.0093,26246.0777,9491.8126,0.1763,0.0154,0.0455,7.4527,4.5226,23.288,-11.3127,,,
ERW,2568,Q1,False,2135.663,836.589,362.736,160.189,41.126,175.013,25917.3,9919.18,0.1698,0.0139,0.0374,8.0622,4.5153,23.7225,-11.145,,True,Q1_FS.xlsx
ERW,2568,Q2,False,1753.339,792.994,69.78,120.711,39.848,154.434,25764.928,9508.7,0.0398,0.0027,0.0072,7.2895,4.6461,18.9028,-6.9673,,True,Q2_FS.xlsx
ERW,2568,Q3,False,1788.638,801.101,59.797,155.074,42.315,180.07,25461.134,9481.112,0.0334,0.0023,0.0063,7.0926,4.7179,19.2075,-7.3971,,True,Q3_FS.xlsx
ERW,2568,Q4,False,2259.7525,834.3435,412.4433,232.438,40.396,257.323,26459.9264,9787.1647,0.1825,0.0159,0.0428,7.8883,4.5601,24.1149,-11.6665,,,
MANRIN,2564,Q1,False,9.4142,24.1354,-16.4885,4.0214,1.2365,13.4258,871.2496,422.5708,-1.7514,-0.0192,-0.0383,33.6825,4.905,50.7575,-12.17,Y,True,Q1_FS.xlsx
MANRIN,2564,Q2,False,4.9164,22.5473,-22.5835,4.6339,1.41,9.6012,844.104,399.9873,-4.5935,-0.0263,-0.0549,80.1026,5.3404,46.4679,38.975,Y,True,Q2_FS.xlsx
MANRIN,2564,Q3,False,2.0099,20.7721,12.558,5.5734,1.3613,9.2006,855.513,412.5453,6.2482,0.0148,0.0309,233.617,6.137,41.6369,198.1171,Y,True,Q3_FS.xlsx
MANRIN,2564,Q4,False,9.3656,24.0769,-22.3285,5.7672,1.2428,12.22,835.4447,390.2168,-2.3841,-0.0264,-0.0556,55.7005,4.9753,40.925,19.7508,Y,True,Q4_FS.xlsx
MANRIN,2565,Q1,False,13.143,27.4402,-30.2935,6.469,1.0468,16.7151,808.8927,359.9233,-2.3049,-0.0368,-0.0808,41.8953,3.7549,47.4515,-1.8013,Y,True,Q1_FS.xlsx
MANRIN,2565,Q2,False,32.0142,34.4279,-12.0503,9.3689,0.9652,22.3781,801.7407,347.873,-0.3764,-0.015,-0.0341,22.5096,2.6591,51.6656,-26.4969,,True,Q2_FS.xlsx
MANRIN,2565,Q3,False,51.0255,42.7624,-4.5026,12.3641,0.9851,32.9849,807.069,343.3704,-0.0882,-0.0056,-0.013,19.5926,2.0979,59.5546,-37.8641,,True,Q3_FS.xlsx
MANRIN,2565,Q4,False,71.1109,48.7387,6.9614,10.3819,1.1838,32.3589,811.3254,353.0399,0.0979,0.0086,0.02,14.7139,2.047,61.672,-44.9112,,True,Q4_FS.xlsx
MANRIN,2566,Q1,False,76.0404,51.2652,6.844,11.7441,1.305,26.1553,804.0502,359.8838,0.09,0.0085,0.0192,13.0939,2.1846,51.3631,-36.0845,,True,Q1_FS.xlsx
MANRIN,2566,Q2,False,68.6147,46.198,1.1953,11.0526,1.2169,26.1948,747.3579,361.0791,0.0174,0.0015,0.0033,15.117,2.4838,51.5591,-33.9583,,True,Q2_FS.xlsx
MANRIN,2566,Q3,False,90.6776,55.0518,15.3714,12.1653,1.2132,26.1061,754.7019,376.4505,0.1695,0.0205,0.0417,11.7782,2.0305,43.7014,-29.8926,,True,Q3_FS.xlsx
MANRIN,2566,Q4,False,89.9606,52.5348,11.2733,12.2615,1.3299,27.7516,759.002,387.7238,0.1253,0.0149,0.0295,12.4902,2.2268,47.1583,-32.4413,,True,Q4_FS.xlsx
MANRIN,2567,Q1,False,93.4029,50.8233,13.7944,18.8228,1.0385,31.3064,722.8177,401.5182,0.1477,0.0186,0.035,14.9759,2.097,52.2912,-35.2182,,True,Q1_FS.xlsx
MANRIN,2567,Q2,False,80.8305,46.844,6.8823,10.9899,1.1612,36.1513,698.9993,408.4005,0.0851,0.0097,0.017,16.7818,2.1366,65.5223,-46.6039,,True,Q2_FS.xlsx
